Timestamp,Rede,Token,Cotação USD,Cotação BRL,Função,Gas Usado,Preço do Gas (em gwei),Custo (token),USD,BRL
2025-08-15T17:00:06.719Z,Polygon,Polygon,0.2315,1.2500,setNome,28132,27.000026245,0.00075956473832434,0.0002,0.0009
2025-08-15T17:00:06.748Z,Ethereum,Ethereum,4418.2300,23867.0000,setPreco,26641,1.048120759,0.000027922985140519,0.1234,0.6664
2025-08-15T17:00:06.749Z,BNB Chain,BNB Chain,819.6100,4427.4500,setPreco,26641,0.1,0.0000026641,0.0022,0.0118
2025-08-15T17:00:06.749Z,Polygon,Polygon,0.2315,1.2500,setPreco,26641,27.000026245,0.000719307699193045,0.0002,0.0009
2025-08-15T18:00:09.868Z,Ethereum,ethereum,4445.0200,23991.0000,Deploy,519148,0.624149744,0.000324026091298112,1.4403,7.7737
2025-08-15T18:00:09.878Z,BNB Chain,binancecoin,825.1400,4453.5200,Deploy,519148,0.1,0.0000519148,0.0428,0.2312
2025-08-15T18:00:09.885Z,Polygon,matic-network,0.2317,1.2500,Deploy,519148,26.000000199,0.013497848103310452,0.0031,0.0169
2025-08-15T18:00:09.934Z,Ethereum,Ethereum,4445.0200,23991.0000,setNome,28132,0.624149744,0.000017558580598208,0.0780,0.4212
2025-08-15T18:00:09.935Z,BNB Chain,BNB Chain,825.1400,4453.5200,setNome,28132,0.1,0.0000028132,0.0023,0.0125
2025-08-15T18:00:09.937Z,Polygon,Polygon,0.2317,1.2500,setNome,28132,26.000000199,0.000731432005598268,0.0002,0.0009
2025-08-15T18:00:09.976Z,Ethereum,Ethereum,4445.0200,23991.0000,setPreco,26641,0.624149744,0.000016627973329904,0.0739,0.3989
2025-08-15T18:00:09.979Z,BNB Chain,BNB Chain,825.1400,4453.5200,setPreco,26641,0.1,0.0000026641,0.0022,0.0119
2025-08-15T18:00:09.982Z,Polygon,Polygon,0.2317,1.2500,setPreco,26641,26.000000199,0.000692666005301559,0.0002,0.0009
2025-08-15T19:00:06.988Z,Ethereum,ethereum,4398.9700,23754.0000,Deploy,519148,0.69647916,0.00036157576295568,1.5906,8.5889
2025-08-15T19:00:06.996Z,BNB Chain,binancecoin,822.3900,4440.9100,Deploy,519148,0.1,0.0000519148,0.0427,0.2305
2025-08-15T19:00:06.998Z,Polygon,matic-network,0.2300,1.2400,Deploy,519148,26.000000102,0.013497848052953096,0.0031,0.0167
2025-08-15T19:00:07.034Z,Ethereum,Ethereum,4398.9700,23754.0000,setNome,28132,0.69647916,0.00001959335172912,0.0862,0.4654
2025-08-15T19:00:07.035Z,BNB Chain,BNB Chain,822.3900,4440.9100,setNome,28132,0.1,0.0000028132,0.0023,0.0125
2025-08-15T19:00:07.037Z,Polygon,Polygon,0.2300,1.2400,setNome,28132,26.000000102,0.000731432002869464,0.0002,0.0009
2025-08-15T19:00:07.071Z,Ethereum,Ethereum,4398.9700,23754.0000,setPreco,26641,0.69647916,0.00001855490130156,0.0816,0.4408
2025-08-15T19:00:07.073Z,BNB Chain,BNB Chain,822.3900,4440.9100,setPreco,26641,0.1,0.0000026641,0.0022,0.0118
2025-08-15T19:00:07.075Z,Polygon,Polygon,0.2300,1.2400,setPreco,26641,26.000000102,0.000692666002717382,0.0002,0.0009
2025-08-15T20:00:06.122Z,Ethereum,ethereum,4391.1300,23701.0000,Deploy,519148,0.487492771,0.000253080897079108,1.1113,5.9983
